Attrition,BusinessTravel,Department,Education,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion
No,Not_Travel,Human Resources,Doctor,4,Male,4,1,Research Scientist,1,Single,No,2.75,2,32.07,6,3,28.63,3.26,5.46
No,Travel_Rarely,Marketing,Master,3,Female,5,3,Sales Representative,4,Single,No,9.26,5,39.84,8,2,13.48,7.98,1.59
Yes,Travel_Frequently,Finance,Doctor,3,Female,2,5,Finance Manager,4,Single,Yes,0.97,2,36.1,1,4,20.55,7.4,11.34
Yes,Travel_Frequently,Finance,Master,4,Female,5,4,Finance Manager,1,Single,Yes,6.65,5,28.46,1,3,28.53,9.16,15.35
Yes,Travel_Rarely,Finance,Doctor,3,Female,4,3,Research Scientist,4,Single,Yes,0.38,3,30.82,2,5,27.17,3.84,19.68
No,Travel_Rarely,Sales,Doctor,4,Male,2,4,Human Resources Manager,2,Divorced,Yes,2.83,1,26.96,4,5,26.06,17.13,0.39
Yes,Not_Travel,Marketing,Master,4,Male,1,2,Human Resources Manager,1,Married,No,5.33,5,25.85,3,1,20.6,6.12,13.05
Yes,Travel_Rarely,Human Resources,Master,4,Male,1,3,Finance Manager,3,Single,Yes,2.5,3,31.89,6,4,28.4,5.61,8.17
Yes,Not_Travel,Sales,Doctor,3,Female,3,4,Human Resources Manager,2,Single,No,6.98,4,19.18,6,3,5.35,5.24,16.19
No,Not_Travel,Human Resources,Bachelor,1,Male,5,4,Finance Manager,1,Married,No,1.09,4,34.28,7,4,24.07,0.16,16.52
Yes,Travel_Rarely,Human Resources,Master,1,Male,4,3,Human Resources Manager,3,Divorced,Yes,7.15,1,4.42,3,2,27.28,12.55,16.62
No,Travel_Frequently,Sales,Doctor,2,Female,2,2,Marketing Specialist,4,Single,Yes,3.5,5,39.17,4,4,27.14,7.21,16.89
No,Not_Travel,Research,Master,3,Male,3,4,Human Resources Manager,1,Divorced,No,5.92,1,34.98,3,1,24.95,9.89,1.01
Yes,Not_Travel,Finance,Master,1,Male,2,4,Research Scientist,3,Single,Yes,9.01,4,16.38,1,5,2.41,1.6,8.49
Yes,Travel_Frequently,Finance,Doctor,1,Male,4,3,Sales Representative,2,Single,Yes,2.76,5,5.41,2,2,1.39,11.96,8.93
No,Travel_Frequently,Research,Master,4,Male,5,4,Research Scientist,3,Divorced,Yes,1.87,1,22.2,4,5,1.78,8.76,13.86
No,Travel_Rarely,Finance,Doctor,1,Female,2,3,Marketing Specialist,4,Divorced,No,2.01,3,17.21,2,5,8.31,3.33,3.17
No,Travel_Frequently,Finance,Master,2,Female,2,5,Finance Manager,4,Divorced,No,0.67,4,26.08,4,3,11.08,17.49,14.22
Yes,Travel_Rarely,Marketing,Master,2,Male,4,5,Marketing Specialist,3,Divorced,No,3.54,1,28.48,1,4,12.13,7.48,0.22
Yes,Not_Travel,Marketing,Bachelor,1,Male,1,2,Research Scientist,2,Married,No,8.23,3,21.07,4,4,21.46,4.08,7.12
Yes,Travel_Frequently,Sales,Bachelor,2,Male,3,5,Finance Manager,1,Married,Yes,7.96,5,35.15,9,5,5.65,14.05,15.49
No,Travel_Rarely,Sales,Doctor,3,Male,4,1,Marketing Specialist,4,Married,No,5.17,1,28.06,5,4,28.02,12.24,4.54
No,Travel_Rarely,Human Resources,Doctor,1,Female,3,2,Research Scientist,4,Married,Yes,2.41,4,13.31,2,4,6.37,11.88,17.13
No,Not_Travel,Marketing,Doctor,2,Female,5,5,Human Resources Manager,2,Married,Yes,4.27,1,14.05,9,2,3.56,16.04,7.29
No,Not_Travel,Finance,Master,4,Female,3,5,Research Scientist,4,Married,Yes,2.26,4,14.52,1,3,11.91,5.35,7.67
No,Not_Travel,Sales,Doctor,4,Male,5,3,Finance Manager,4,Married,Yes,2.67,5,34.17,6,1,24.58,7.55,1.11
No,Travel_Frequently,Research,Master,3,Male,3,1,Human Resources Manager,4,Single,No,3.78,5,19.53,9,2,20.86,12.08,1.24
Yes,Travel_Frequently,Finance,Bachelor,4,Male,5,5,Human Resources Manager,1,Married,No,8.37,2,14.08,1,4,22.24,12.53,6.16
No,Not_Travel,Finance,Master,4,Male,2,3,Research Scientist,3,Single,Yes,6.97,3,1.77,5,2,24.94,16.92,4.92
No,Not_Travel,Marketing,Doctor,4,Male,4,2,Finance Manager,3,Single,No,0.9,1,17.62,3,3,20.68,14.4,1.13
No,Travel_Rarely,Sales,Bachelor,4,Female,3,5,Finance Manager,4,Divorced,Yes,2.93,2,32.99,1,2,20.2,3.73,15.41
No,Travel_Frequently,Sales,Bachelor,4,Female,5,5,Marketing Specialist,1,Married,No,6.42,4,30.66,1,2,14.96,1.56,4.78
No,Travel_Rarely,Human Resources,Master,2,Male,3,3,Sales Representative,4,Divorced,Yes,1.8,5,31.81,7,1,17.21,8.1,11.75
Yes,Travel_Rarely,Research,Master,2,Male,3,5,Sales Representative,2,Divorced,No,0.58,3,24.03,4,2,18.67,5.59,14
Yes,Travel_Rarely,Finance,Bachelor,3,Female,4,5,Research Scientist,4,Divorced,No,3.85,3,13.7,3,2,9.84,16.34,1.3
Yes,Not_Travel,Research,Doctor,4,Male,5,3,Research Scientist,4,Single,No,3.38,2,28.86,1,5,21.9,8.61,9.78
No,Travel_Rarely,Human Resources,Doctor,2,Female,5,1,Marketing Specialist,4,Single,Yes,0.62,5,38.85,6,2,9.09,2.63,18.64
No,Not_Travel,Finance,Doctor,2,Female,4,4,Human Resources Manager,2,Single,No,0.58,1,25.88,8,5,12.12,3.05,15.81
Yes,Travel_Rarely,Finance,Master,3,Male,5,4,Research Scientist,3,Married,Yes,8.75,3,3.22,3,3,1.25,11.16,6.58
No,Travel_Rarely,Marketing,Master,4,Male,5,1,Research Scientist,4,Single,Yes,0.45,4,13.55,6,4,6.28,1.67,4.92
Yes,Not_Travel,Sales,Bachelor,2,Male,1,5,Finance Manager,2,Divorced,No,2.95,1,13.51,3,2,26.13,1.56,14.16
Yes,Not_Travel,Research,Doctor,3,Male,5,1,Sales Representative,3,Divorced,Yes,0.84,4,26.15,4,2,28.59,6.64,2.18
No,Not_Travel,Marketing,Bachelor,2,Female,5,2,Finance Manager,3,Single,Yes,2.19,1,11.62,1,4,7.12,11.23,4.34
No,Travel_Frequently,Marketing,Master,3,Male,2,2,Sales Representative,1,Single,No,2.12,4,28.29,4,4,3.63,13.73,17.94
Yes,Travel_Rarely,Marketing,Doctor,2,Male,5,5,Sales Representative,1,Married,Yes,6.21,2,4.81,8,4,1.19,8.94,15.8
Yes,Travel_Rarely,Human Resources,Bachelor,3,Female,2,2,Human Resources Manager,1,Married,No,4.2,1,27.64,8,4,25.34,1.56,9.87
No,Travel_Rarely,Human Resources,Bachelor,3,Male,1,2,Finance Manager,4,Married,Yes,6.4,3,5.68,4,2,0.21,14.58,6.72
Yes,Travel_Frequently,Marketing,Master,4,Male,3,2,Finance Manager,3,Single,Yes,3.59,4,14.55,5,4,13.89,1.58,17.61
Yes,Travel_Frequently,Human Resources,Master,4,Female,3,4,Research Scientist,4,Single,No,8.64,4,7.8,3,5,11.06,15.69,15.21
No,Not_Travel,Finance,Master,3,Male,1,5,Sales Representative,1,Married,Yes,4.53,2,36.45,7,5,13.44,16.98,8.22
No,Travel_Frequently,Marketing,Bachelor,1,Male,5,2,Human Resources Manager,4,Single,Yes,4.2,5,37.47,7,4,11.85,19.68,7.96
Yes,Not_Travel,Research,Doctor,1,Male,2,3,Marketing Specialist,3,Single,Yes,6.9,1,7.98,8,1,18.06,9.25,7.5
No,Travel_Rarely,Finance,Bachelor,4,Male,4,1,Finance Manager,2,Single,Yes,2.95,1,25.41,4,2,8.18,15.19,4.37
No,Not_Travel,Research,Master,1,Female,2,1,Human Resources Manager,2,Single,Yes,8.05,2,7.41,3,4,22.86,6.47,8.14
No,Not_Travel,Research,Bachelor,2,Male,1,4,Finance Manager,4,Single,Yes,1.41,5,26.92,6,2,1.79,16.57,1.32
No,Travel_Frequently,Finance,Master,4,Female,4,5,Marketing Specialist,1,Single,No,4.48,3,15.92,7,5,27.13,3.43,1.65
Yes,Travel_Frequently,Marketing,Bachelor,1,Female,5,1,Finance Manager,1,Divorced,No,2.21,2,8.39,3,4,21.5,11.51,12.97
Yes,Travel_Frequently,Sales,Master,3,Female,2,4,Finance Manager,2,Divorced,No,8.69,5,35.65,2,4,6.01,6.74,18.06
Yes,Not_Travel,Human Resources,Master,4,Female,4,1,Sales Representative,3,Married,No,4.77,2,22.2,1,2,28.92,17.31,0.84
No,Travel_Frequently,Finance,Master,2,Male,5,5,Finance Manager,3,Married,Yes,2.05,1,19.01,8,1,18.7,1.03,1.79
No,Travel_Frequently,Marketing,Bachelor,3,Female,1,5,Research Scientist,2,Single,No,3.65,5,35.17,7,5,16.99,11.27,1.4
No,Not_Travel,Finance,Bachelor,4,Male,1,1,Human Resources Manager,1,Divorced,Yes,7.78,4,3.3,9,2,2.58,18.57,19.09
Yes,Travel_Rarely,Sales,Bachelor,1,Female,4,3,Research Scientist,4,Married,Yes,6.03,4,27.57,1,3,2.13,14.97,19.26
Yes,Travel_Rarely,Marketing,Bachelor,4,Female,5,3,Sales Representative,4,Married,Yes,3.66,5,4.02,4,1,16.04,17.23,16.78
Yes,Not_Travel,Research,Bachelor,4,Female,4,3,Marketing Specialist,4,Married,No,5.62,5,13.07,6,4,1.82,18.04,9.1
No,Not_Travel,Marketing,Bachelor,3,Female,1,5,Marketing Specialist,4,Divorced,No,4.94,5,3.36,3,3,6.76,8.3,12.51
Yes,Travel_Rarely,Finance,Doctor,4,Female,2,2,Human Resources Manager,1,Single,No,0.78,5,19.3,7,4,25.75,1.09,14.24
Yes,Travel_Rarely,Research,Master,2,Male,5,3,Finance Manager,3,Divorced,No,4.6,2,31.44,7,2,17.33,9.8,19.54
Yes,Travel_Frequently,Human Resources,Doctor,2,Male,1,5,Research Scientist,2,Single,No,5.15,3,1.05,6,1,16.32,2.9,12.52
Yes,Not_Travel,Marketing,Bachelor,4,Female,2,5,Sales Representative,1,Married,No,0.51,1,7.99,2,2,1.69,7.72,3.32
Yes,Travel_Frequently,Human Resources,Master,2,Male,4,4,Human Resources Manager,4,Married,No,1.81,3,34.09,4,5,12.92,3.96,4.33
No,Not_Travel,Human Resources,Bachelor,1,Male,3,3,Marketing Specialist,1,Single,Yes,8.36,1,1.91,8,5,23.06,1.96,0.58
No,Travel_Frequently,Marketing,Doctor,3,Male,4,4,Human Resources Manager,4,Divorced,No,0.78,1,24.87,2,3,29.5,1.68,13.31
Yes,Travel_Frequently,Finance,Master,4,Male,2,4,Human Resources Manager,3,Married,No,5.51,5,31.49,6,1,1.28,15.11,15.06
Yes,Travel_Rarely,Marketing,Doctor,3,Male,4,4,Research Scientist,4,Married,No,6.18,5,31.47,6,3,28.94,1.74,15.72
Yes,Travel_Rarely,Research,Doctor,3,Male,3,5,Finance Manager,4,Single,No,8.13,4,24.35,1,4,25.2,13.23,6.54
Yes,Travel_Rarely,Sales,Bachelor,4,Female,3,5,Human Resources Manager,3,Married,No,0.84,4,39.77,1,1,6.03,5.21,1.64
No,Not_Travel,Sales,Doctor,4,Female,1,3,Marketing Specialist,1,Married,Yes,7.92,1,27.55,5,4,3.91,7.1,7.85
Yes,Not_Travel,Marketing,Bachelor,4,Female,3,4,Human Resources Manager,2,Single,No,6.99,1,11.71,2,5,22.46,14.5,16.05
No,Travel_Rarely,Marketing,Bachelor,1,Female,4,3,Sales Representative,4,Single,No,8.18,3,33.28,2,2,3.79,12.32,15.91
No,Travel_Frequently,Marketing,Doctor,3,Female,5,5,Marketing Specialist,1,Divorced,No,3.38,1,27.27,6,2,0.75,14.21,14.7
No,Not_Travel,Finance,Bachelor,3,Male,4,3,Marketing Specialist,2,Married,Yes,5.49,3,4.83,5,3,29.99,14.35,12.05
Yes,Not_Travel,Finance,Master,4,Male,4,4,Finance Manager,3,Single,No,9.39,1,31.79,1,2,1.12,14.01,13.49
Yes,Travel_Frequently,Research,Doctor,1,Female,3,5,Research Scientist,2,Single,No,3.85,1,29.04,1,2,15.35,0.76,1.06
Yes,Travel_Frequently,Research,Bachelor,2,Male,5,3,Research Scientist,3,Divorced,Yes,8.33,5,5.02,7,5,26.79,6.31,9.14
Yes,Travel_Frequently,Sales,Master,3,Female,4,1,Research Scientist,4,Divorced,No,8.29,3,28.06,4,2,3.34,19.15,12.39
Yes,Travel_Rarely,Finance,Master,1,Female,4,4,Marketing Specialist,1,Single,No,6.12,2,37.52,8,3,9.07,18.84,4.53
No,Travel_Rarely,Sales,Master,4,Male,2,4,Finance Manager,4,Single,No,0.86,4,12.61,7,4,6.08,17.76,19.86
Yes,Not_Travel,Research,Master,2,Male,2,4,Research Scientist,4,Single,No,3.04,1,16.95,6,3,23.35,9.15,19.2
No,Travel_Frequently,Human Resources,Bachelor,1,Female,1,1,Human Resources Manager,1,Single,Yes,9.72,2,34.21,6,2,18.23,18.7,1.66
No,Not_Travel,Human Resources,Master,2,Male,1,1,Human Resources Manager,2,Divorced,No,8.61,3,19.77,6,1,16.07,8.16,15.93
Yes,Not_Travel,Research,Bachelor,2,Male,5,2,Marketing Specialist,3,Single,Yes,6.56,4,22.87,9,1,1.81,5.9,9.56
No,Travel_Frequently,Sales,Bachelor,4,Female,2,4,Sales Representative,2,Divorced,No,0.69,4,11.78,4,4,7.83,8.3,8.83
Yes,Travel_Frequently,Research,Master,3,Male,4,2,Human Resources Manager,4,Single,No,6.78,5,23.4,6,5,21.1,15.53,1.61
Yes,Not_Travel,Marketing,Doctor,4,Male,1,2,Research Scientist,2,Married,Yes,2.76,5,33.99,1,2,18.19,1.57,4.01
No,Travel_Frequently,Marketing,Bachelor,2,Male,1,2,Human Resources Manager,2,Divorced,Yes,3.56,5,5.08,8,4,11.88,1.5,2.32
No,Travel_Rarely,Research,Doctor,1,Male,2,2,Finance Manager,4,Divorced,No,9.37,2,17.4,7,3,21.36,7.77,1.29
Yes,Travel_Rarely,Sales,Master,1,Male,2,4,Finance Manager,2,Divorced,No,5.16,5,26.42,5,1,22.07,0.85,3.93
Yes,Travel_Rarely,Human Resources,Master,3,Female,4,5,Research Scientist,2,Single,Yes,6.9,4,1.82,4,5,16.8,1.37,9.92
Yes,Travel_Rarely,Research,Master,3,Male,5,4,Research Scientist,1,Married,No,2.32,1,16.33,1,1,22.47,12.05,16.94
No,Not_Travel,Human Resources,Bachelor,3,Male,5,4,Human Resources Manager,1,Divorced,Yes,1.89,5,9.64,8,5,18.49,12.27,0.35
No,Travel_Frequently,Finance,Master,1,Female,4,3,Finance Manager,1,Divorced,Yes,1.54,5,3.2,9,1,21.67,2.72,13.64
Yes,Travel_Rarely,Research,Doctor,1,Male,3,1,Research Scientist,3,Single,No,9.23,1,33.75,1,2,25.64,14.92,7.36
No,Travel_Rarely,Sales,Master,4,Male,1,4,Research Scientist,4,Married,No,9.93,5,15.04,3,2,14.7,15.09,16.71
Yes,Travel_Rarely,Finance,Master,2,Male,3,2,Sales Representative,1,Married,Yes,6.69,2,22.82,6,5,12.23,13.7,18.06
Yes,Not_Travel,Human Resources,Bachelor,4,Female,1,5,Finance Manager,4,Married,No,8.57,5,5.66,4,4,6.9,13.48,16.36
No,Not_Travel,Finance,Bachelor,4,Male,5,1,Marketing Specialist,4,Married,Yes,9.18,3,37.23,5,5,6.53,13.89,1.86
Yes,Not_Travel,Human Resources,Doctor,1,Female,3,2,Research Scientist,3,Married,Yes,8.66,4,18.79,3,4,24.5,15.53,1.05
Yes,Not_Travel,Finance,Doctor,2,Male,4,3,Research Scientist,1,Single,Yes,9.77,2,33.46,1,1,0.16,4.22,1.83
No,Travel_Rarely,Finance,Bachelor,4,Female,4,2,Human Resources Manager,4,Married,Yes,1.11,4,25.67,1,4,24.39,7.32,3.98
No,Not_Travel,Finance,Bachelor,1,Female,2,5,Research Scientist,3,Divorced,No,7.63,1,28.12,4,3,0.45,9.9,5.77
No,Travel_Rarely,Sales,Doctor,4,Female,5,3,Marketing Specialist,4,Married,Yes,7.75,1,3.12,9,2,19.09,5.8,4.3
Yes,Not_Travel,Marketing,Master,4,Female,1,3,Research Scientist,4,Divorced,No,8.33,2,1.85,8,4,3.53,1.77,6
Yes,Travel_Frequently,Research,Master,1,Male,1,5,Human Resources Manager,2,Divorced,No,8.92,5,6.93,4,1,24.76,17.3,8.3
No,Not_Travel,Research,Doctor,4,Female,3,1,Research Scientist,3,Divorced,Yes,5.52,1,25.55,1,5,1.06,2.93,7.62
No,Travel_Frequently,Research,Doctor,2,Male,4,2,Marketing Specialist,4,Single,No,8.09,1,37.62,1,5,12.66,7.47,18.17
No,Not_Travel,Sales,Master,1,Female,4,2,Human Resources Manager,2,Single,No,4.32,1,18.08,4,4,13.58,13.85,4.5
Yes,Travel_Frequently,Sales,Doctor,3,Male,4,5,Marketing Specialist,3,Divorced,Yes,0.71,1,37.14,3,3,24.73,1.54,9.84
Yes,Not_Travel,Human Resources,Master,3,Male,5,3,Marketing Specialist,4,Divorced,Yes,8.25,1,30.66,8,2,24.94,14.11,0.21
No,Not_Travel,Marketing,Bachelor,1,Male,3,4,Human Resources Manager,4,Divorced,No,8.29,4,3.78,7,1,5.88,17.86,14.1
No,Not_Travel,Sales,Master,2,Male,2,3,Human Resources Manager,4,Single,Yes,9.79,2,34.13,1,5,20.62,5.14,1.96
Yes,Not_Travel,Finance,Bachelor,2,Female,2,3,Sales Representative,4,Married,Yes,3.94,4,28.99,5,1,3.67,8.53,6
No,Not_Travel,Sales,Master,4,Female,4,4,Finance Manager,3,Married,No,0.59,5,13.49,6,1,22.85,1.66,15.46
No,Not_Travel,Finance,Bachelor,4,Male,4,5,Human Resources Manager,4,Married,Yes,0.84,2,22.16,5,2,0.14,12.74,7.7
Yes,Not_Travel,Sales,Master,3,Female,5,2,Finance Manager,4,Single,No,8.7,4,15.78,6,4,28.8,6.58,15.28
No,Not_Travel,Human Resources,Doctor,2,Male,4,4,Human Resources Manager,3,Single,No,7.96,5,6.07,3,3,23.92,8.79,1.52
Yes,Travel_Rarely,Sales,Master,2,Male,5,1,Research Scientist,4,Single,Yes,1.78,2,34.4,1,5,5.23,4.88,0.15
No,Travel_Rarely,Finance,Doctor,4,Male,3,1,Marketing Specialist,4,Divorced,No,4.71,4,38.35,3,1,29.64,15.66,12.67
Yes,Not_Travel,Sales,Bachelor,1,Male,1,2,Human Resources Manager,4,Married,No,7.49,2,35.02,4,3,11.66,13.84,6.95
No,Travel_Frequently,Marketing,Master,3,Female,5,3,Sales Representative,2,Divorced,Yes,6.85,1,22.74,9,4,23.77,1.76,18.36
No,Travel_Frequently,Research,Master,4,Male,5,3,Sales Representative,4,Divorced,No,6.74,1,11.56,5,5,5.69,8.46,16.48
No,Not_Travel,Research,Master,4,Male,4,3,Finance Manager,4,Divorced,Yes,1.19,5,21.58,1,5,11.1,9.63,16.62
Yes,Travel_Frequently,Finance,Doctor,3,Male,3,4,Finance Manager,1,Divorced,Yes,8.32,5,25.63,1,3,8.23,3.37,3.23
Yes,Travel_Rarely,Finance,Bachelor,4,Male,4,2,Finance Manager,3,Divorced,Yes,6.11,2,14.65,7,1,16.15,16.26,2.42
Yes,Travel_Rarely,Research,Doctor,3,Female,5,4,Marketing Specialist,3,Divorced,No,4.41,3,5.01,5,5,3.42,17.74,11.26
No,Travel_Frequently,Sales,Bachelor,4,Female,1,3,Marketing Specialist,1,Divorced,Yes,0.78,3,33.58,1,4,14.74,17.26,14.37
No,Travel_Frequently,Sales,Bachelor,4,Male,2,1,Human Resources Manager,2,Married,Yes,2.5,1,15.82,1,3,26.28,9.89,11.62
No,Travel_Frequently,Research,Bachelor,4,Female,4,5,Marketing Specialist,4,Single,Yes,8.66,1,36.03,4,1,18.8,1.43,7.69
No,Travel_Rarely,Sales,Doctor,4,Female,2,4,Human Resources Manager,2,Married,No,6.1,5,36.25,9,4,0.45,2.27,15.66
No,Travel_Frequently,Research,Master,2,Female,1,2,Finance Manager,4,Divorced,Yes,9.85,5,33.4,1,1,0.26,18.1,16.53
No,Travel_Rarely,Finance,Doctor,4,Female,4,3,Sales Representative,1,Divorced,Yes,3.85,5,7.66,7,3,6.48,6.8,7.01
No,Travel_Frequently,Research,Doctor,4,Male,1,4,Sales Representative,1,Single,No,0.85,3,1.44,1,3,12.83,15.59,13.36
No,Not_Travel,Marketing,Master,4,Male,2,2,Human Resources Manager,2,Married,No,8.68,3,37.91,1,2,8.08,3.47,9.27
Yes,Not_Travel,Marketing,Master,3,Female,5,4,Research Scientist,4,Single,No,1.36,5,19.39,8,3,24.65,16.65,1.98
No,Travel_Frequently,Human Resources,Bachelor,1,Female,4,5,Marketing Specialist,4,Married,No,1.23,4,34.27,5,1,23.58,6.8,3.69
No,Not_Travel,Finance,Master,2,Female,3,1,Sales Representative,3,Divorced,No,6.7,2,21.34,1,5,17.82,13.73,3.11
No,Not_Travel,Human Resources,Bachelor,4,Female,1,4,Finance Manager,1,Divorced,Yes,7.55,2,4.81,1,2,1.94,4.59,1.55
Yes,Travel_Rarely,Human Resources,Master,4,Male,4,4,Finance Manager,4,Divorced,Yes,2.67,1,26.49,3,5,6.76,14.83,2.66
No,Not_Travel,Human Resources,Bachelor,4,Male,3,2,Sales Representative,2,Single,No,7.1,3,38.66,6,4,29.3,4.08,5.08
No,Not_Travel,Research,Doctor,1,Female,5,2,Marketing Specialist,2,Divorced,No,9.46,4,31.14,4,5,11.17,3.59,19.01
Yes,Not_Travel,Finance,Doctor,2,Male,5,4,Human Resources Manager,4,Divorced,No,1.49,5,13.8,7,5,12.39,19.6,12.73
Yes,Travel_Rarely,Human Resources,Doctor,4,Male,5,2,Human Resources Manager,4,Married,Yes,6.65,1,8.49,1,4,28.6,11.99,7.31
Yes,Not_Travel,Sales,Bachelor,1,Female,2,2,Marketing Specialist,3,Single,Yes,8.77,2,1.77,1,2,22.25,11.71,9.78
Yes,Travel_Frequently,Sales,Bachelor,4,Male,3,5,Marketing Specialist,4,Single,No,2.89,1,18.4,6,4,23.19,3.92,19.13
No,Travel_Frequently,Finance,Bachelor,2,Female,4,3,Marketing Specialist,1,Divorced,No,7.64,1,32.19,9,5,16.52,8.32,5.87
Yes,Travel_Rarely,Human Resources,Doctor,4,Female,4,4,Research Scientist,1,Divorced,Yes,4.85,1,30.9,6,5,29.3,17.3,14.02
Yes,Travel_Frequently,Finance,Bachelor,1,Male,3,2,Research Scientist,2,Single,Yes,5.62,4,23.7,3,2,5.88,4.7,5.11
Yes,Travel_Frequently,Research,Master,2,Female,4,3,Research Scientist,4,Single,Yes,7.16,4,30.08,1,3,11.38,16.81,8.13
Yes,Travel_Rarely,Human Resources,Doctor,2,Male,3,2,Sales Representative,2,Single,No,2.47,2,31.25,4,1,1.76,12.12,12.3
No,Travel_Frequently,Research,Doctor,1,Female,5,4,Marketing Specialist,4,Single,Yes,7.29,1,12.1,3,2,25.95,2.38,13.56
No,Travel_Frequently,Marketing,Bachelor,2,Female,1,5,Research Scientist,4,Divorced,No,5.21,5,8.15,8,5,22.63,11.42,0.54
Yes,Travel_Frequently,Human Resources,Doctor,1,Male,3,3,Research Scientist,1,Married,No,7.04,5,14.7,5,3,16.15,11.59,4.88
No,Travel_Frequently,Research,Doctor,4,Male,2,2,Research Scientist,4,Married,No,9.25,3,29.04,3,1,8.01,14.15,17.22
Yes,Travel_Frequently,Research,Master,4,Female,4,2,Sales Representative,3,Married,Yes,4.23,5,1.91,8,5,1.37,1.35,6.86
No,Travel_Rarely,Marketing,Bachelor,3,Male,5,5,Sales Representative,4,Divorced,No,9.34,3,13.95,1,5,15.27,7.95,1.08
No,Not_Travel,Finance,Master,4,Male,4,3,Sales Representative,4,Married,Yes,0.7,1,21.44,8,4,8.24,13.24,8.27
Yes,Travel_Frequently,Marketing,Bachelor,1,Female,1,2,Research Scientist,3,Single,Yes,8.96,2,25.82,6,5,15.95,17.06,1.47
No,Travel_Frequently,Finance,Bachelor,4,Male,3,3,Human Resources Manager,4,Married,No,8.23,2,38.73,2,2,15,0.9,18.46
Yes,Travel_Frequently,Marketing,Bachelor,1,Male,4,3,Sales Representative,4,Single,Yes,7.43,5,11.2,9,5,28.68,18.61,19.95
No,Travel_Frequently,Marketing,Bachelor,4,Female,2,5,Sales Representative,4,Married,No,7.85,3,6.98,2,3,15.57,11.24,5.54
No,Travel_Frequently,Human Resources,Doctor,1,Female,5,1,Human Resources Manager,3,Single,Yes,6.46,3,29.12,4,1,14.37,11.87,7.57
No,Travel_Frequently,Research,Doctor,4,Male,1,4,Research Scientist,3,Divorced,Yes,8.2,1,30.34,6,1,20.78,19.27,7.22
No,Not_Travel,Human Resources,Doctor,4,Female,5,3,Human Resources Manager,3,Single,No,5.94,2,24.08,1,3,12.69,5.75,5.69
Yes,Travel_Frequently,Sales,Doctor,3,Female,2,2,Sales Representative,4,Single,Yes,4.75,3,17.35,1,2,6.16,11.75,5.35
No,Travel_Frequently,Marketing,Master,4,Female,4,3,Research Scientist,4,Married,No,7.82,2,37.96,8,3,1.35,14.8,3.48
Yes,Travel_Frequently,Human Resources,Bachelor,3,Male,5,3,Sales Representative,1,Single,Yes,9.11,2,31.42,2,4,8,18.16,6.99
Yes,Travel_Frequently,Finance,Bachelor,4,Female,5,3,Human Resources Manager,4,Divorced,Yes,8.61,5,13.37,1,3,3.98,11.12,2.97
No,Travel_Rarely,Marketing,Bachelor,1,Female,4,4,Marketing Specialist,4,Single,Yes,6.34,3,36.01,4,2,29.54,0.59,3.12
Yes,Travel_Rarely,Human Resources,Master,4,Female,4,1,Human Resources Manager,2,Divorced,No,1.69,5,37.87,8,1,13.29,17.15,2.21
No,Not_Travel,Marketing,Doctor,4,Male,3,3,Finance Manager,2,Single,No,0.36,3,12.13,2,2,18.36,14.15,15.39
No,Not_Travel,Marketing,Master,1,Female,4,2,Marketing Specialist,2,Married,No,6.76,2,17.36,1,4,19.25,12.37,16.53
Yes,Travel_Frequently,Finance,Master,3,Male,3,3,Marketing Specialist,3,Married,Yes,2.05,4,32.42,5,2,25.63,9.07,18.76
No,Travel_Frequently,Finance,Doctor,3,Female,2,5,Research Scientist,4,Divorced,No,8.57,2,30.65,1,4,1.96,7.43,17.44
Yes,Travel_Frequently,Marketing,Master,4,Female,4,3,Finance Manager,4,Divorced,No,1.64,1,3.87,5,2,0.86,16.37,14.47
Yes,Travel_Frequently,Sales,Master,4,Male,5,4,Sales Representative,3,Divorced,No,1.9,5,0.46,4,3,5.72,14.87,12.08
No,Travel_Frequently,Research,Doctor,4,Male,5,3,Sales Representative,4,Divorced,Yes,6.6,5,39.89,2,1,20.53,12.66,2.27
No,Not_Travel,Research,Bachelor,4,Male,3,5,Finance Manager,3,Single,No,6.82,4,4.57,2,5,1.03,0.55,9
Yes,Travel_Rarely,Marketing,Master,4,Male,3,5,Human Resources Manager,4,Divorced,No,9.73,1,34.74,3,5,14.71,0.39,12.87
No,Travel_Rarely,Sales,Doctor,4,Male,1,2,Research Scientist,4,Married,No,0.52,5,22.62,7,4,26.14,14.92,0.92
Yes,Travel_Rarely,Human Resources,Master,4,Female,4,3,Sales Representative,4,Divorced,Yes,4.83,5,9.25,9,5,29.15,17.52,5.95
Yes,Travel_Frequently,Finance,Bachelor,3,Female,2,3,Marketing Specialist,3,Married,Yes,2.17,4,27.28,5,2,12.62,13.44,2.89
No,Travel_Frequently,Human Resources,Doctor,4,Male,4,2,Sales Representative,4,Divorced,Yes,1.08,1,12.12,4,2,21.55,13.13,0.89
Yes,Travel_Rarely,Finance,Bachelor,1,Female,5,2,Research Scientist,4,Divorced,Yes,6.65,1,23.38,1,4,19.77,0.51,2.07
